,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec, ANNUAL,FLOODS,avg_june,sub
106,KERALA,2007,0.5,5.6,7.3,138.5,192.7,705.9,966.3,489.6,526.7,357.2,87.4,11.9,6.1,338.5,2688.5,456.5,3489.6,1,235.29999999999998,513.2
107,KERALA,2008,0.8,30.3,217.2,108.4,81.2,469.9,505.1,349.0,347.0,343.4,55.4,17.0,31.1,406.8,1671.0,415.8,2524.5,0,156.63333333333333,388.7
108,KERALA,2009,3.3,1.5,62.6,69.0,191.6,438.2,924.9,269.3,326.5,205.2,274.4,44.2,4.8,323.2,1958.9,523.8,2810.6,0,146.06666666666666,246.6
109,KERALA,2010,18.6,1.0,31.4,138.9,190.6,667.5,629.0,356.0,275.6,441.4,335.1,46.8,19.6,360.9,1928.1,823.3,3131.8,1,222.5,476.9
110,KERALA,2011,20.5,45.7,24.1,165.2,124.2,788.5,536.8,492.7,391.2,227.2,169.7,49.5,66.2,313.5,2209.2,446.4,3035.1,1,262.8333333333333,664.3
111,KERALA,2012,7.4,11.0,21.0,171.1,95.3,430.3,362.6,501.6,241.1,187.5,112.9,9.4,18.4,287.4,1535.6,309.8,2151.1,0,143.43333333333334,335.0
112,KERALA,2013,3.9,40.1,49.9,49.3,119.3,1042.7,830.2,369.7,318.6,259.9,154.9,17.0,44.0,218.5,2561.2,431.8,3255.4,1,347.56666666666666,923.4000000000001
113,KERALA,2014,4.6,10.3,17.9,95.7,251.0,454.4,677.8,733.9,298.8,355.5,99.5,47.2,14.9,364.6,2164.9,502.2,3046.4,1,151.46666666666667,203.39999999999998
114,KERALA,2015,3.1,5.8,50.1,214.1,201.8,563.6,406.0,252.2,292.9,308.1,223.6,79.4,8.9,466.0,1514.7,611.1,2600.6,0,187.86666666666667,361.8
115,KERALA,2016,2.4,3.8,35.9,143.0,186.4,522.2,412.3,325.5,173.2,225.9,125.4,23.6,6.2,365.3,1433.2,374.9,2176.6,0,174.0666666666667,335.80000000000007
116,KERALA ,2017,1.9,6.8,8.9,43.6,173.5,498.5,319.6,531.8,209.5,192.4,92.5,38.1,8.7,226.0,1559.4,323.0,2117.1,0,166.16666666666666,325.0
117,KERALA,2018,29.1,52.1,48.6,116.4,183.8,625.4,1048.5,1398.9,423.6,356.1,125.4,65.1,81.2,348.8,3496.4,546.6,4473.0,1,208.46666666666667,441.59999999999997
